Rooms,Type,Price,Method,Seller,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea
6,h,725000,SP,Barry,07-05-2016,13.5,3042,6,3,2,976,186
2,t,450000,S,Barry,07-05-2016,13.5,3042,2,1,1,110,90
2,u,515000,S,Barry,07-11-2016,13.5,3042,2,1,1,141,73
2,u,530000,S,Nelson,10-09-2016,13.5,3042,2,1,1,120,94
3,h,895000,PI,Rendina,10-09-2016,13.5,3042,3,1,6,1063,133
3,h,805000,S,Nelson,10-12-2016,13.5,3042,3,1,1,0,105
3,u,752000,S,Nelson,11-02-2017,13.5,3042,3,1,1,265,130
2,u,440000,S,Barry,13-08-2016,13.5,3042,2,1,1,192,
5,h,755000,PI,Propertyau,14-05-2016,13.5,3042,3,2,2,596,
3,t,700000,PI,Brad,15-10-2016,13.5,3042,3,2,2,165,133
3,h,830000,S,Barry,16-04-2016,13.5,3042,3,1,2,971,113
2,u,462500,S,Barry,16-07-2016,13.5,3042,2,1,1,164,
3,h,670000,SP,Barry,16-07-2016,13.5,3042,3,2,2,657,
2,h,675000,S,Barry,16-07-2016,13.5,3042,2,1,1,612,100
3,h,1042000,S,Nelson,16-07-2016,13.5,3042,3,2,5,612,174
3,h,910000,S,McDonald,17-09-2016,13.5,3042,3,1,1,775,
4,h,773000,S,Brad,17-09-2016,13.5,3042,5,3,4,531,309
3,h,810000,PI,Barry,18-03-2017,13.5,3042,3,3,2,555,192
3,h,715000,S,Rendina,18-03-2017,13.5,3042,3,2,2,422,126
3,h,790000,S,Nelson,18-03-2017,13.5,3042,3,1,3,614,
3,t,540000,SP,Nelson,18-06-2016,13.5,3042,2,2,1,161,101
3,t,825000,SP,Barry,19-11-2016,13.5,3042,3,2,1,293,102
3,h,685000,S,Barry,22-05-2016,13.5,3042,3,1,1,579,113
3,h,805000,S,Barry,22-08-2016,13.5,3042,3,1,1,623,
2,u,510000,S,Nelson,22-08-2016,13.5,3042,2,1,1,141,76
3,h,612000,S,Nelson,22-08-2016,13.5,3042,3,2,1,212,
3,h,662000,S,Brad,23-04-2016,13.5,3042,3,1,2,612,
4,h,978000,S,Nelson,24-09-2016,13.5,3042,4,3,2,532,
3,h,720000,PI,Nelson,25-02-2017,13.5,3042,3,1,1,585,
4,h,765000,S,Prof.,27-11-2016,13.5,3042,4,1,2,509,
4,h,900000,S,Harcourts,27-11-2016,13.5,3042,4,2,3,628,146
2,h,1275000,S,hockingstuart,03-09-2016,3.3,3206,2,1,0,120,82
2,h,1455000,S,Thomson,03-09-2016,3.3,3206,2,1,0,159,
3,h,2850000,PI,Buxton,04-03-2017,3.3,3206,3,2,0,211,198
3,h,1850000,S,Greg,04-03-2017,3.3,3206,3,2,0,128,133
2,h,1436000,S,RT,04-03-2017,3.3,3206,2,1,0,130,81
2,h,1110000,S,Marshall,06-08-2016,3.3,3206,1,1,0,147,
2,h,1550000,S,Sotheby's,07-05-2016,3.3,3206,2,1,1,167,
4,h,2300000,S,Marshall,07-05-2016,3.3,3206,4,2,1,153,180
3,t,1550000,VB,Marshall,07-11-2016,3.3,3206,3,2,2,718,
3,h,1800000,VB,Greg,07-11-2016,3.3,3206,3,2,1,132,159
2,h,2120000,S,Greg,10-09-2016,3.3,3206,2,1,1,199,107
3,h,1800000,VB,Cayzer,10-09-2016,3.3,3206,3,1,1,253,
3,h,1800000,S,Marshall,10-09-2016,3.3,3206,3,2,1,90,122
2,h,1810000,PI,Greg,10-12-2016,3.3,3206,2,1,0,240,
3,h,2615000,S,Cayzer,10-12-2016,3.3,3206,3,2,1,177,181
5,h,2100000,S,Greg,10-12-2016,3.3,3206,5,2,1,237,
3,h,1300000,S,hockingstuart,10-12-2016,3.3,3206,3,1,0,129,
3,h,1370000,S,Greg,12-06-2016,3.3,3206,3,2,2,0,85
2,h,1000000,S,Cayzer,12-11-2016,3.3,3206,2,1,0,288,
3,h,2575000,S,Greg,15-10-2016,3.3,3206,3,2,1,228,
2,h,1322500,S,Greg,15-10-2016,3.3,3206,2,1,0,149,98
2,h,1562500,S,Greg,15-10-2016,3.3,3206,2,1,0,141,83
3,h,2000000,VB,RT,16-04-2016,3.3,3206,3,2,1,211,147
3,h,1900000,S,Greg,18-03-2017,3.3,3206,3,1,0,209,
3,h,3010000,S,Greg,18-03-2017,3.3,3206,3,2,0,147,146
4,h,2800000,VB,Cayzer,18-06-2016,3.3,3206,4,3,1,327,254
2,u,647000,S,Greg,22-05-2016,3.3,3206,2,1,1,0,
3,h,2100000,SP,Marshall,23-04-2016,3.3,3206,2,1,1,120,123
3,h,2000000,PI,Marshall,24-09-2016,3.3,3206,3,1,1,238,131
1,u,442500,S,Marshall,25-02-2017,3.3,3206,1,1,0,0,34
4,h,4735000,S,Marshall,25-02-2017,3.3,3206,4,2,1,330,207
2,h,1340000,S,Greg,25-02-2017,3.3,3206,2,1,0,136,
3,h,1801000,S,hockingstuart,25-02-2017,3.3,3206,3,1,1,202,
3,h,1532000,S,Chisholm,26-07-2016,3.3,3206,3,3,1,0,
3,h,3755000,S,Greg,26-07-2016,3.3,3206,3,2,2,325,
4,h,2140000,S,Greg,27-06-2016,3.3,3206,3,2,1,183,145
2,h,1750000,S,Marshall,27-11-2016,3.3,3206,2,1,1,162,
2,h,980000,S,Greg,28-05-2016,3.3,3206,2,1,0,79,68
3,h,2030000,S,hockingstuart,28-08-2016,3.3,3206,3,2,0,152,
3,h,1740000,PI,Marshall,28-08-2016,3.3,3206,3,2,2,147,134
3,h,2800000,VB,Buxton,30-07-2016,3.3,3206,3,3,1,0,
1,h,985000,S,Marshall,30-07-2016,3.3,3206,1,1,0,81,54
4,h,2000000,S,Brace,03-09-2016,6.4,3078,3,2,4,853,263
3,h,1110000,S,Jellis,03-09-2016,6.4,3078,3,2,2,208,
3,h,1492000,S,Jellis,04-03-2017,6.4,3078,3,2,2,411,
4,h,1717500,S,Collins,08-10-2016,6.4,3078,4,2,1,599,203
5,h,2840000,S,Nelson,12-06-2016,6.4,3078,5,4,4,809,165
2,u,525500,S,Miles,12-11-2016,6.4,3078,2,1,1,88,60
2,t,805000,S,Miles,12-11-2016,6.4,3078,2,2,3,155,140
2,u,465000,S,McGrath,12-11-2016,6.4,3078,2,1,1,0,
3,h,2000000,PI,hockingstuart,15-10-2016,6.4,3078,3,3,2,686,
3,h,1540000,S,Nelson,16-04-2016,6.4,3078,3,1,2,592,
2,u,820000,S,Nelson,18-03-2017,6.4,3078,2,1,1,183,
4,h,1830000,S,Nelson,19-11-2016,6.4,3078,4,2,2,606,112
4,h,2100000,S,Nelson,19-11-2016,6.4,3078,4,2,2,575,271
3,h,865000,SP,hockingstuart,22-05-2016,6.4,3078,3,1,1,180,131
2,u,390000,VB,Nelson,22-05-2016,6.4,3078,2,1,1,0,60
2,t,650000,SP,Brace,24-09-2016,6.4,3078,0,1,0,0,
2,u,512000,S,Love,25-02-2017,6.4,3078,2,1,1,0,61
3,h,1165000,S,Barry,27-06-2016,6.4,3078,3,1,2,979,
4,h,1900000,SP,McGrath,27-11-2016,6.4,3078,4,2,2,556,272
3,h,1485000,SP,McGrath,28-08-2016,6.4,3078,3,0,0,597,
4,h,1950000,S,Jellis,30-07-2016,6.4,3078,4,2,3,589,210
3,h,520000,VB,Greg,03-09-2016,13.8,3018,3,2,1,352,242
5,h,1525000,S,Greg,03-12-2016,13.8,3018,5,3,3,729,268
2,t,720000,S,hockingstuart,04-02-2016,13.8,3018,2,1,2,292,125
3,h,1120000,S,Barlow,04-03-2017,13.8,3018,3,1,2,506,120
4,h,780000,PI,Sweeney,04-06-2016,13.8,3018,4,1,4,655,
4,h,1780000,SP,Greg,04-06-2016,13.8,3018,4,3,6,1057,220
3,u,630000,S,Barlow,06-08-2016,13.8,3018,2,1,2,311,94
2,u,406000,SP,hockingstuart,06-08-2016,13.8,3018,2,1,1,65,
3,h,660000,VB,Greg,07-05-2016,13.8,3018,3,1,1,602,123
3,h,683500,S,Greg,07-11-2016,13.8,3018,3,1,1,530,
2,u,580000,S,Barlow,08-10-2016,13.8,3018,2,1,1,225,93
3,h,1335000,S,hockingstuart,08-10-2016,13.8,3018,3,1,4,777,22
3,t,800000,SP,hockingstuart,08-10-2016,13.8,3018,3,2,2,280,
2,u,510000,S,Village,10-09-2016,13.8,3018,2,1,1,127,76
4,h,1070000,S,Barlow,10-09-2016,13.8,3018,4,2,2,695,
2,u,425000,S,hockingstuart,10-09-2016,13.8,3018,2,1,2,115,57
3,u,605000,S,Jas,10-12-2016,13.8,3018,3,2,2,230,
3,t,705000,S,hockingstuart,11-02-2017,13.8,3018,3,2,2,197,152
2,u,391000,SP,Greg,11-02-2017,13.8,3018,2,1,1,0,65
2,u,440000,SP,hockingstuart,11-02-2017,13.8,3018,2,1,1,0,
4,h,845000,S,hockingstuart,11-02-2017,13.8,3018,4,1,2,745,130
3,t,743000,SP,Gunn&Co,12-11-2016,13.8,3018,3,2,2,211,176
3,u,730000,SP,Barlow,13-08-2016,13.8,3018,3,2,1,69,141
3,h,635000,S,Sweeney,14-05-2016,13.8,3018,3,1,4,625,
2,u,620000,SP,hockingstuart,14-05-2016,13.8,3018,2,1,1,168,
2,u,447000,S,Burnham,15-10-2016,13.8,3018,2,1,1,137,77
3,u,730000,SP,Barlow,16-04-2016,13.8,3018,3,2,1,70,
3,h,678000,S,hockingstuart,16-04-2016,13.8,3018,3,1,2,606,87
2,u,580000,PI,Biggin,16-07-2016,13.8,3018,2,2,1,175,76
3,h,712000,S,hockingstuart,17-09-2016,13.8,3018,3,1,2,363,
3,h,840000,SP,Greg,18-03-2017,13.8,3018,3,2,2,534,136
3,h,980000,S,Barlow,19-11-2016,13.8,3018,3,1,2,724,
3,t,605100,S,hockingstuart,22-05-2016,13.8,3018,3,2,0,265,
3,h,880000,PI,Barlow,22-08-2016,13.8,3018,3,3,1,577,
3,u,577000,S,Williams,23-04-2016,13.8,3018,3,2,1,205,113
4,h,1030000,S,Barlow,25-02-2017,13.8,3018,4,1,0,797,
3,u,605000,S,Barlow,25-02-2017,13.8,3018,3,1,2,181,
3,h,753000,S,Barlow,27-06-2016,13.8,3018,3,2,2,529,
2,h,857000,SP,hockingstuart,27-11-2016,13.8,3018,2,2,1,675,100
3,h,1500000,S,Barlow,28-05-2016,13.8,3018,3,1,1,929,
3,u,730000,SP,Barlow,28-05-2016,13.8,3018,3,2,1,70,3
3,h,900000,S,Sweeney,28-05-2016,13.8,3018,3,1,4,697,
3,h,740000,S,Greg,28-08-2016,13.8,3018,3,1,2,604,
4,h,931000,S,Sweeney,28-08-2016,13.8,3018,4,2,3,532,
2,h,535600,SP,Compton,30-07-2016,13.8,3018,2,1,1,154,91
5,h,1085000,S,FN,03-09-2016,11.1,3025,5,3,6,592,251
3,h,781000,S,Jas,03-09-2016,11.1,3025,3,1,2,533,117
3,h,750000,SP,Jas,04-03-2017,11.1,3025,3,1,3,554,
2,t,421000,S,hockingstuart,04-03-2017,11.1,3025,2,1,1,77,77
3,h,1405000,S,Sweeney,04-03-2017,11.1,3025,3,1,3,655,
3,h,683000,S,FN,04-06-2016,11.1,3025,3,1,2,534,167
3,h,623000,S,Sweeney,04-06-2016,11.1,3025,3,1,3,540,
3,h,720000,VB,Greg,06-08-2016,11.1,3025,3,2,1,0,130
3,h,588000,S,Williams,07-05-2016,11.1,3025,3,1,1,328,118
3,h,710000,PI,Village,07-11-2016,11.1,3025,3,1,3,540,116
4,h,875000,SP,Jas,08-10-2016,11.1,3025,3,1,4,559,169
3,h,700000,VB,Jas,10-12-2016,11.1,3025,3,1,3,554,
2,t,640000,S,Williams,11-03-2017,11.1,3025,2,1,1,252,
4,h,650000,SP,Williams,12-06-2016,11.1,3025,4,1,4,558,
3,h,675000,S,hockingstuart,14-05-2016,11.1,3025,3,2,2,171,109
3,h,708000,S,Greg,15-10-2016,11.1,3025,3,1,2,585,97
4,h,965000,SP,Gunn&Co,15-10-2016,11.1,3025,4,1,4,851,
3,h,680000,S,Sweeney,19-11-2016,11.1,3025,3,1,3,551,
3,h,770000,SP,hockingstuart,19-11-2016,11.1,3025,3,1,3,602,603
3,h,923000,S,Greg,22-05-2016,11.1,3025,3,1,2,740,
4,h,693000,SP,Raine&Horne,22-05-2016,11.1,3025,4,2,4,315,170
3,h,620000,SP,Hunter,22-08-2016,11.1,3025,5,2,2,276,100
3,h,728500,S,Jas,22-08-2016,11.1,3025,3,1,1,531,157
3,h,931000,S,hockingstuart,22-08-2016,11.1,3025,3,2,1,590,160
3,h,988000,S,Sweeney,22-08-2016,11.1,3025,3,1,4,715,
3,h,590000,S,Village,23-04-2016,11.1,3025,3,1,2,561,
2,h,610000,S,RT,24-09-2016,11.1,3025,2,1,2,691,
3,h,815000,S,hockingstuart,25-02-2017,11.1,3025,3,2,3,555,130
4,h,970000,S,Greg,25-02-2017,11.1,3025,4,1,2,708,
4,h,760000,S,Hunter,27-06-2016,11.1,3025,4,1,3,668,
4,t,847500,S,RT,27-06-2016,11.1,3025,4,3,1,252,
4,h,1200000,SP,RT,27-11-2016,11.1,3025,4,1,4,633,158
3,h,700000,SP,Hunter,27-11-2016,11.1,3025,3,1,1,557,
3,h,625000,PI,Hunter,28-05-2016,11.1,3025,3,1,1,536,
2,u,292000,S,Jas,28-08-2016,11.1,3025,2,1,1,153,70
2,u,599000,S,Jellis,03-09-2016,6.3,3143,2,1,1,0,76
2,u,550000,VB,Noel,03-12-2016,6.3,3143,2,1,0,861,
3,u,995000,S,Marshall,03-12-2016,6.3,3143,3,2,2,0,100
3,t,1205000,S,Jellis,03-12-2016,6.3,3143,3,2,2,101,105
3,h,1939000,S,Jellis,03-12-2016,6.3,3143,3,2,2,296,150
1,u,421500,S,Biggin,03-12-2016,6.3,3143,1,1,0,0,
3,h,1870000,S,Hodges,04-03-2017,6.3,3143,3,1,1,217,116
2,u,678000,S,hockingstuart,04-03-2017,6.3,3143,2,1,2,0,
3,t,1918000,SP,Jellis,04-03-2017,6.3,3143,3,2,2,0,165
2,u,660000,SP,hockingstuart,04-03-2017,6.3,3143,2,1,1,0,
3,h,2050000,S,Marshall,04-03-2017,6.3,3143,3,2,1,205,116
2,u,700000,VB,Jellis,04-06-2016,6.3,3143,2,1,2,0,
2,u,3625000,S,Jellis,04-06-2016,6.3,3143,3,2,2,0,
4,h,3000000,VB,Jellis,04-06-2016,6.3,3143,4,2,2,1581,
5,h,1525000,PI,Jellis,07-05-2016,6.3,3143,8,2,2,693,
3,u,735000,PI,Marshall,07-05-2016,6.3,3143,3,2,1,2113,14
2,u,825000,S,Jellis,07-05-2016,6.3,3143,2,1,1,0,
3,t,1586000,S,RT,07-05-2016,6.3,3143,2,2,2,246,
2,u,645000,S,Marshall,08-10-2016,6.3,3143,3,1,1,0,
1,h,1435000,SP,Jellis,08-10-2016,6.3,3143,2,2,1,144,107
1,u,280000,PI,hockingstuart,10-09-2016,6.3,3143,1,1,1,0,38
1,u,400000,PI,hockingstuart,10-12-2016,6.3,3143,1,1,1,0,
2,h,1780000,S,Marshall,10-12-2016,6.3,3143,2,2,2,0,
2,u,592500,S,hockingstuart,10-12-2016,6.3,3143,2,1,1,0,73
2,h,1210000,S,Marshall,12-11-2016,6.3,3143,2,1,0,249,96
4,h,2801000,S,Marshall,12-11-2016,6.3,3143,4,2,2,624,222
1,u,390000,S,Jellis,14-05-2016,6.3,3143,1,1,0,881,
3,h,1800000,PI,RT,15-10-2016,6.3,3143,3,2,2,405,121
4,h,2200000,PI,Jellis,15-10-2016,6.3,3143,4,1,2,495,163
1,u,324000,S,Jellis,16-04-2016,6.3,3143,1,1,1,0,
6,h,5525000,S,Marshall,17-09-2016,6.3,3143,5,3,4,1491,516
2,h,1125000,S,RT,17-09-2016,6.3,3143,3,1,2,169,
3,h,2250000,S,Marshall,17-09-2016,6.3,3143,3,3,1,301,
3,h,2360000,S,hockingstuart,18-03-2017,6.3,3143,3,2,0,336,
2,h,1900000,VB,Jellis,18-03-2017,6.3,3143,2,2,0,207,
1,u,440000,SP,Jellis,18-03-2017,6.3,3143,1,1,1,0,53
2,u,490000,PI,Ray,18-06-2016,6.3,3143,2,1,1,0,
3,h,2365000,S,Marshall,18-06-2016,6.3,3143,3,2,1,316,
3,h,1300000,VB,Jellis,18-06-2016,6.3,3143,2,1,2,212,106
3,u,732000,S,Gary,18-06-2016,6.3,3143,3,2,2,0,
2,u,704000,SP,Greg,19-11-2016,6.3,3143,2,1,1,0,74
2,u,620000,VB,Marshall,19-11-2016,6.3,3143,3,1,1,0,98
3,h,1900000,S,Marshall,22-05-2016,6.3,3143,3,1,2,328,108
1,u,315000,SP,Fletchers,22-08-2016,6.3,3143,1,1,1,0,
1,u,450000,PI,hockingstuart,24-09-2016,6.3,3143,1,1,1,0,
2,u,710000,S,Jellis,25-02-2017,6.3,3143,2,1,1,2471,80
2,u,872000,S,Jellis,25-02-2017,6.3,3143,2,1,1,1194,
2,u,598000,S,hockingstuart,25-02-2017,6.3,3143,2,1,1,0,88
3,h,1285000,S,Marshall,25-02-2017,6.3,3143,3,1,2,186,80
4,h,3660000,S,Jellis,25-02-2017,6.3,3143,4,3,2,421,
2,u,520000,S,hockingstuart,27-06-2016,6.3,3143,1,1,1,0,76
4,h,3625000,S,Jellis,27-11-2016,6.3,3143,4,1,2,709,251
4,h,4200000,VB,Kay,27-11-2016,6.3,3143,4,3,3,563,333
3,t,1101000,S,Jellis,27-11-2016,6.3,3143,3,1,2,103,3
3,h,3512500,S,Marshall,27-11-2016,6.3,3143,3,2,2,617,285
4,h,2000000,PI,Marshall,28-05-2016,6.3,3143,4,3,4,544,
3,u,869000,S,Jellis,28-05-2016,6.3,3143,2,1,1,0,91
5,h,2810000,S,Marshall,28-08-2016,6.3,3143,5,2,2,617,
2,u,565000,S,Ray,28-08-2016,6.3,3143,3,1,1,0,
1,u,567000,S,hockingstuart,28-08-2016,6.3,3143,1,1,1,0,53
2,u,546000,SP,hockingstuart,30-07-2016,6.3,3143,2,0,0,0,
2,u,471500,S,Ray,30-07-2016,6.3,3143,2,1,1,0,
2,u,455000,S,Nelson,03-09-2016,5.9,3032,3,1,2,0,
3,h,940000,S,Nelson,03-12-2016,5.9,3032,3,1,2,298,108
2,u,467000,SP,Brad,03-12-2016,5.9,3032,2,1,1,0,62
3,h,1380000,SP,Nelson,04-03-2017,5.9,3032,3,2,2,277,174
2,u,490000,VB,Jellis,04-03-2017,5.9,3032,2,1,1,423,62
4,h,1850000,S,Brad,04-03-2017,5.9,3032,4,3,1,478,270
3,h,1284000,S,Woodards,04-03-2017,5.9,3032,3,1,2,623,
3,h,971000,SP,Nelson,04-06-2016,5.9,3032,3,2,2,285,128
2,h,710000,PI,Nelson,04-06-2016,5.9,3032,2,1,1,214,77
6,h,2425000,PI,Brad,04-06-2016,5.9,3032,6,3,2,1014,435
2,h,750000,SP,Maddison,04-06-2016,5.9,3032,2,1,1,226,92
2,h,1053000,S,Nelson,06-08-2016,5.9,3032,2,1,1,269,109
3,h,1377000,S,Nelson,06-08-2016,5.9,3032,3,1,1,417,168
3,h,970000,S,Brad,07-05-2016,5.9,3032,3,1,2,350,125
2,h,940000,S,Nelson,07-05-2016,5.9,3032,2,1,1,330,
2,h,751000,PI,Nelson,07-05-2016,5.9,3032,2,1,1,118,79
2,h,950000,SP,Raine,07-05-2016,5.9,3032,2,1,1,173,102
2,u,685000,S,Brad,07-11-2016,5.9,3032,2,1,2,228,90
3,h,1230000,S,Nelson,08-10-2016,5.9,3032,4,1,2,594,148
2,h,636500,S,Jellis,08-10-2016,5.9,3032,2,1,1,0,
3,h,910000,S,Raine,08-10-2016,5.9,3032,3,1,0,317,
2,h,770000,PI,Nelson,10-09-2016,5.9,3032,2,1,1,226,87
3,h,960000,S,Walshe,10-12-2016,5.9,3032,3,2,2,229,
4,h,890000,SP,Raine,10-12-2016,5.9,3032,4,1,1,300,185
2,h,965000,S,Nelson,10-12-2016,5.9,3032,2,1,1,170,
3,h,1440000,S,Nelson,11-02-2017,5.9,3032,3,1,1,487,131
2,h,955000,S,Woodards,11-03-2017,5.9,3032,2,1,0,255,
2,u,450000,VB,Nelson,12-11-2016,5.9,3032,2,1,1,0,
3,h,801000,S,Jellis,12-11-2016,5.9,3032,3,1,2,431,
3,h,1000000,PI,Brad,12-11-2016,5.9,3032,3,2,2,440,120
3,h,1435000,S,Nelson,12-11-2016,5.9,3032,3,2,2,532,147
1,u,390000,S,Alexkarbon,12-11-2016,5.9,3032,1,1,1,0,58
3,h,1425000,PI,Jellis,13-08-2016,5.9,3032,3,2,2,495,139
4,h,1340000,S,Nelson,14-05-2016,5.9,3032,3,2,2,683,232
3,h,955000,S,Brad,14-05-2016,5.9,3032,3,1,1,263,117
4,h,1100000,VB,Nelson,15-10-2016,5.9,3032,4,2,5,559,195
3,h,1255000,S,Nelson,15-10-2016,5.9,3032,3,2,2,308,
2,u,432000,S,Biggin,15-10-2016,5.9,3032,2,1,1,0,62
4,h,1640000,S,Raine,16-04-2016,5.9,3032,4,3,2,562,204
6,h,1430000,S,Nelson,16-04-2016,5.9,3032,4,2,1,461,286
2,u,610000,SP,Brad,16-04-2016,5.9,3032,2,1,1,301,104
3,h,940000,S,Nelson,16-04-2016,5.9,3032,3,3,1,491,127
3,h,890000,SP,Brad,16-07-2016,5.9,3032,3,1,1,242,110
3,h,1180000,SP,Brad,17-09-2016,5.9,3032,3,2,2,617,149
4,h,1480000,S,Raine,17-09-2016,5.9,3032,4,2,2,597,180
2,h,1150000,S,Brad,18-03-2017,5.9,3032,2,1,1,387,
3,h,1350000,S,Brad,18-03-2017,5.9,3032,3,1,3,575,
5,h,1905000,S,Nelson,18-03-2017,5.9,3032,5,2,2,521,
2,t,865000,SP,Nelson,18-03-2017,5.9,3032,2,2,1,146,132
2,t,705000,S,Brad,18-06-2016,5.9,3032,2,2,1,113,
2,u,442000,S,Alexkarbon,18-06-2016,5.9,3032,2,1,1,0,62
2,u,540000,S,Jellis,19-11-2016,5.9,3032,2,2,1,0,
3,h,1037500,S,Alexkarbon,19-11-2016,5.9,3032,3,1,2,506,110
3,t,1050000,S,Jellis,19-11-2016,5.9,3032,3,2,2,318,160
2,u,440000,S,McDonald,19-11-2016,5.9,3032,2,1,1,0,65
2,h,1010000,S,Brad,19-11-2016,5.9,3032,2,1,1,325,
4,h,1430000,S,Nelson,22-05-2016,5.9,3032,4,2,0,418,158
2,u,570000,VB,Nelson,22-05-2016,5.9,3032,2,1,1,0,
2,u,690000,S,Brad,22-05-2016,5.9,3032,2,1,1,0,
3,h,1291000,S,Brad,23-04-2016,5.9,3032,3,1,2,414,
3,h,1130000,S,Nelson,23-04-2016,5.9,3032,3,2,1,272,157
3,h,1135000,S,Brad,24-09-2016,5.9,3032,3,1,1,296,104
4,h,950000,PI,Nelson,24-09-2016,5.9,3032,4,2,1,298,147
3,u,790000,PI,Weda,24-09-2016,5.9,3032,3,2,1,0,148
2,u,390000,PI,Jellis,25-02-2017,5.9,3032,2,1,1,1957,69
4,h,1345000,S,Jellis,25-02-2017,5.9,3032,4,1,1,552,155
3,h,1381500,S,Barry,25-02-2017,5.9,3032,3,2,2,416,168
3,h,940000,S,Jellis,26-07-2016,5.9,3032,3,2,2,285,172
3,h,995000,S,Nelson,26-07-2016,5.9,3032,3,2,1,314,177
3,h,1050000,SP,Frank,26-07-2016,5.9,3032,3,1,3,536,
3,h,786000,S,Brad,26-07-2016,5.9,3032,3,2,1,576,120
2,h,705000,PI,Nelson,27-06-2016,5.9,3032,2,1,3,252,108
2,h,760000,PI,Nelson,27-06-2016,5.9,3032,2,1,1,124,77
3,u,487500,S,Hodges,27-06-2016,5.9,3032,3,1,3,0,
3,t,1000000,S,Nelson,27-11-2016,5.9,3032,3,2,2,200,144
4,h,1110000,PI,Nelson,27-11-2016,5.9,3032,4,2,1,349,
4,h,1300000,PI,Jellis,27-11-2016,5.9,3032,4,1,4,664,
3,h,1060000,PI,Nelson,27-11-2016,5.9,3032,3,1,1,555,
3,h,1410000,PI,Nelson,27-11-2016,5.9,3032,3,2,2,459,
